Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request - Quarkus Reactive,100,1179,1191,1824,1895,2115,276,2117,0.000%,7.35781,36.24,1.10
HTTP Request - Quarkus Imperative JDBC,100,1070,1058,1482,1540,1642,265,1674,0.000%,8.49690,1674.01,1.33
HTTP Request - Quarkus Imperative JPA (Native),100,10951,10957,11472,11529,12011,9723,12098,0.000%,.90176,177.66,0.14
HTTP Request - Quarkus Imperative JPA (ORM),100,10056,10063,10361,10489,10667,9265,10864,0.000%,.98512,194.08,0.15
HTTP Request - Spring Reactive,100,1011,984,1364,1440,1505,243,1586,0.000%,8.93176,1757.86,1.33
HTTP Request - Spring Imperative JDBC (Native),100,916,938,1278,1345,1518,316,1528,0.000%,9.63298,1898.62,1.51
HTTP Request - Spring Imperative JDBC (ORM),100,5224,5252,5506,5614,5701,4379,5755,0.000%,1.87832,239.05,0.28
HTTP Request - Spring Imperative JPA (Native),100,11240,11261,12065,12344,12593,8356,12729,0.000%,.87103,171.68,0.14
HTTP Request - Spring Imperative JPA (ORM),100,10227,10164,10993,11144,11327,9389,11645,0.000%,.96737,190.66,0.14
HTTP Request - Nodejs,100,868,901,1194,1264,1339,206,1460,0.000%,10.03110,1975.86,1.50
TOTAL,1000,5274,2117,11114,11488,12088,206,12729,0.000%,1.84932,315.92,0.28
